,type,source,title
160,Movie,imdb,Rashomon
161,Movie,imdb,The Father
162,Movie,imdb,Casablanca
163,Movie,imdb,Central Station
164,Movie,imdb,La Dolce Vita
165,Movie,imdb,Scarface
166,Movie,imdb,Togo
167,Movie,imdb,The Great War
168,Movie,imdb,Sherlock Jr.
169,Movie,imdb,"Lock, Stock and Two Smoking Barrels"
170,Movie,imdb,The Departed
171,Movie,imdb,Cruella
172,Movie,imdb,Straight Outta Nowhere: Scooby-Doo! Meets Courage the Cowardly Dog
173,Movie,imdb,Believe Me: The Abduction of Lisa McVey
174,Movie,imdb,Double Indemnity
175,Movie,imdb,Reservoir Dogs
176,Movie,imdb,How to Train Your Dragon: Homecoming
177,Movie,imdb,Django Unchained
178,Movie,imdb,Some Like It Hot
179,Movie,imdb,Bo Burnham: Make Happy
180,Movie,imdb,Paper Lives
181,Movie,imdb,Wild Strawberries
182,Movie,imdb,Full Metal Jacket
183,Movie,imdb,Good Will Hunting
184,Movie,imdb,Out Of The Clear Blue Sky
185,Movie,imdb,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb
186,Movie,imdb,The Invisible Guest
187,Movie,imdb,Big Deal on Madonna Street
188,Movie,imdb,Dersu Uzala
189,Movie,imdb,Alien
190,Movie,imdb,Hannah Gadsby: Nanette
191,Movie,imdb,"Paris, Texas"
192,Movie,imdb,Pather Panchali
193,Movie,imdb,Far From the Tree
194,Movie,imdb,The Tale of The Princess Kaguya
195,Movie,imdb,Harry Potter and the Deathly Hallows: Part 2
196,Movie,imdb,Michael Jackson's Thriller
197,Movie,imdb,Ugetsu
198,Movie,imdb,A Special Day
199,Movie,imdb,The Truman Show
200,Movie,imdb,M
201,Movie,imdb,"Toto, Peppino, and the Hussy"
202,Movie,imdb,There Will Be Blood
203,Movie,imdb,In the Arms of an Assassin
204,Movie,imdb,I corti
205,Movie,imdb,Red Beard
206,Movie,imdb,In the Mood for Love
207,Movie,imdb,The Hunt
208,Movie,imdb,"Three Billboards Outside Ebbing, Missouri"
209,Movie,imdb,Scooby-Doo! and Kiss: Rock and Roll Mystery
210,Movie,imdb,Eternal Sunshine of the Spotless Mind
211,Movie,imdb,"Love, Simon"
212,Movie,imdb,Lion
213,Movie,imdb,La Haine
214,Movie,imdb,The Best of Youth
215,Movie,imdb,Mirror
216,Movie,imdb,Incendies
217,Movie,imdb,Cool Kids Don't Cry
218,Movie,imdb,The 400 Blows
219,Movie,imdb,Kitbull
220,Movie,imdb,A Taxi Driver
221,Movie,imdb,Spider-Man: No Way Home
222,Movie,imdb,Along with the Gods: The Two Worlds
223,Movie,imdb,Jojo Rabbit
224,Movie,imdb,Pride & Prejudice
225,Movie,imdb,The Elephant Man
226,Movie,imdb,The Passion of Joan of Arc
227,Movie,imdb,All My Life
228,Movie,imdb,Ran
229,Movie,imdb,The Red Shoes
230,Movie,imdb,2001: A Space Odyssey
231,Movie,imdb,Das Boot
232,Movie,imdb,Sing 2
233,Movie,imdb,My Neighbor Totoro
234,Movie,imdb,A Dog's Journey
235,Movie,imdb,Doctor Who: The Time of the Doctor
236,Movie,imdb,Late Spring
237,Movie,imdb,Weathering with You
238,Movie,imdb,Terminator 2: Judgment Day
239,Movie,imdb,Nights of Cabiria
240,Movie,imdb,Finch
241,Movie,imdb,Ron's Gone Wrong
242,Movie,imdb,Bound by Honor
243,Movie,imdb,Rocco and His Brothers
244,Movie,imdb,Judgment at Nuremberg
245,Movie,imdb,"Veinteañera, Divorciada y Fantástica"
246,Movie,imdb,In a Heartbeat
247,Movie,imdb,Love Exposure
248,Movie,imdb,Memories of Murder
249,Movie,imdb,Wish Dragon
250,Movie,imdb,The Young and the Damned
251,Movie,imdb,Loving Vincent
252,Movie,imdb,On My Skin
253,Movie,imdb,WALL·E
254,Movie,imdb,Prisoners
255,Movie,imdb,Room
256,Movie,imdb,The Grand Budapest Hotel
257,Movie,imdb,Silenced
258,Movie,imdb,Poverty and Nobility
259,Movie,imdb,Hidden Figures
260,Movie,imdb,Elite Squad
